Finishing Time,ITRA Score
43:02:47,433
43:03:07,564
43:04:01,591
43:06:05,505
43:07:08,503
43:08:10,573
43:08:42,552
43:09:24,451
43:10:14,570
43:10:15,525
43:10:20,506
43:10:39,546
43:10:41,605
43:10:49,517
43:11:25,493
43:11:46,546
43:12:25,538
43:13:15,443
43:13:27,588
43:13:57,485
43:14:12,518
43:15:54,462
43:16:13,597
43:18:38,516
43:18:59,434
43:19:07,529
43:21:02,486
43:21:18,453
43:22:21,567
43:23:10,460
43:24:06,477
43:24:18,444
43:26:08,502
43:26:37,523
43:29:06,456
43:30:20,492
43:30:22,493
43:32:36,542
43:33:55,578
43:34:27,549
43:36:21,531
43:36:59,511
43:37:41,555
43:38:39,503
43:38:40,483
43:39:15,438
43:39:19,502
43:40:17,551
43:40:24,449
43:41:07,564
43:41:11,514
43:42:02,471
43:42:26,437
43:42:33,549
43:42:38,429
43:43:15,502
43:44:32,533
43:45:12,601
43:45:26,461
43:45:52,508
43:45:53,560
43:45:59,432
43:46:01,445
43:46:11,484
43:46:57,517
43:47:12,478
43:47:55,406
43:48:08,522
43:48:24,536
43:48:32,558
43:49:02,620
43:50:02,483
43:50:31,433
43:50:35,561
43:51:45,514
43:52:18,463
43:52:31,482
43:52:55,508
43:55:13,480
43:56:58,499
43:57:21,561
43:58:17,501
43:58:24,498
43:58:27,520
43:59:02,404
43:59:33,549
43:59:36,547
44:00:22,545
44:01:44,566
44:02:00,487
44:02:24,554
44:02:58,474
44:04:49,481
44:05:05,510
44:05:24,569
44:05:31,565
44:05:56,457
44:06:04,403
44:08:25,479
44:09:13,460
44:10:15,442
44:11:00,403
44:11:05,487
44:11:25,568
44:11:46,476
44:12:32,532
44:12:41,548
44:12:51,524
44:13:32,477
44:13:56,554
44:15:15,451
44:17:23,478
44:17:52,459
44:17:58,485
44:18:01,482
44:18:14,457
44:18:32,481
44:18:42,477
44:18:46,510
44:20:18,572
44:20:28,541
44:21:09,473
44:21:29,533
44:23:33,477
44:23:40,452
44:23:43,478
44:23:51,528
44:24:06,631
44:24:32,450
44:24:36,545
44:25:02,462
44:25:23,510
44:25:36,440
44:26:04,458
44:26:40,519
44:29:23,562
44:29:43,505
44:30:18,485
44:30:55,545
44:31:05,523
44:31:36,508
44:31:38,481
44:31:53,578
44:33:15,492
44:33:24,586
44:33:54,490
44:34:49,505
44:34:55,552
44:35:03,501
44:35:34,518
44:35:37,506
44:35:43,536
44:35:48,501
44:35:54,456
44:35:55,435
44:35:57,483
44:35:58,456
44:36:05,474
44:36:06,460
44:36:09,545
44:36:19,534
44:36:50,494
44:36:55,480
44:37:14,509
44:37:34,504
44:37:36,561
44:37:42,457
44:38:14,472
44:38:32,454
44:38:43,582
44:39:09,492
44:39:23,526
44:40:06,490
44:40:39,464
44:42:57,487
44:43:40,466
44:43:46,539
44:44:10,506
44:44:30,466
44:46:08,595
44:46:10,652
44:47:19,436
44:48:05,480
44:48:14,542
44:48:17,454
44:48:41,542
44:49:13,552
44:49:20,461
44:49:22,591
44:49:38,440
44:49:43,527
44:50:00,479
44:50:29,558
44:50:35,450
44:52:02,458
44:52:26,515
44:52:31,521
44:53:11,412
44:53:36,541
44:54:00,425
44:54:35,538
44:54:40,529
44:54:58,467
44:55:09,482
44:55:39,482
44:56:52,587
44:56:55,513
44:57:35,507
44:57:45,491
44:57:47,622
44:57:57,521
44:57:57,407
44:58:13,507
44:58:19,498
44:58:24,550
44:58:45,466
44:59:25,483
44:59:32,484
44:59:45,473
45:00:57,418
45:01:40,626
45:01:53,421
45:02:36,537
45:02:45,515
45:03:34,460
45:04:40,476
45:04:50,459
45:05:37,510
45:06:26,513
45:06:57,487
45:07:20,475
45:08:15,462
45:08:19,492
45:08:20,526
45:08:24,496
45:08:30,449
45:08:33,447
45:08:38,490
45:08:41,402
45:08:57,471
45:09:02,487
45:09:05,460
45:10:07,482
45:10:26,480
45:10:27,521
45:10:29,442
45:10:30,518
45:11:49,539
45:12:06,476
45:12:34,581
45:12:38,472
45:13:12,432
45:13:15,527
45:13:54,562
45:13:57,517
45:14:07,565
45:14:37,507
45:15:00,401
45:15:01,444
45:15:04,553
45:15:15,491
45:15:58,452
45:16:19,426
45:16:20,521
45:16:45,546
45:17:06,491
45:17:09,496
45:17:32,506
45:18:18,528
45:18:24,536
45:18:36,522
45:19:16,454
45:19:42,523
45:19:42,532
45:19:53,602
45:19:54,490
45:20:09,474
45:20:21,473
45:20:40,420
45:20:43,465
45:21:25,454
45:21:29,437
45:21:33,508
45:21:34,500
45:21:39,465
45:21:54,580
45:21:58,478
45:22:06,437
45:23:32,542
45:23:46,456
45:23:48,572
45:23:48,527
45:24:13,500
45:24:32,416
45:24:37,440
45:25:05,500
45:25:19,450
45:26:13,592
45:26:54,471
45:27:11,459
45:28:07,577
45:28:22,473
45:28:24,506
45:28:41,471
45:30:10,525
45:30:45,501
45:31:12,520
45:32:31,503
45:33:05,481
45:33:41,510
45:34:06,523
45:34:37,438
45:34:39,531
45:34:41,515
45:34:59,496
45:35:00,471
45:35:24,520
45:35:30,478
45:35:31,489
45:35:35,416
45:35:46,510
45:35:56,470
45:36:08,430
45:36:23,664
45:36:55,540
45:37:35,501
45:37:42,629
45:38:41,442
45:40:13,464
45:40:25,423
45:40:31,525
45:40:38,450
45:41:10,391
45:41:24,483
45:41:26,507
45:43:03,501
45:43:08,478
45:43:50,542
45:44:49,488
45:44:51,492
45:44:53,501
45:45:09,559
45:45:11,480
45:45:42,429
45:45:58,572
45:46:01,478
45:46:27,559
45:46:29,409
45:46:37,473
45:46:51,409
45:46:56,493
45:47:03,528
45:47:08,468
45:47:08,458
45:47:10,530
45:47:21,583
45:47:33,531
45:47:40,454
45:48:02,451
45:48:30,395
45:49:55,409
45:49:57,449
45:50:29,445
45:51:19,503
45:51:29,438
45:51:33,530
45:51:36,508
45:52:12,509
45:52:27,439
45:52:35,471
45:52:50,415
45:53:28,451
45:53:30,403
45:53:31,424
45:53:32,473
45:53:32,424
45:53:34,483
45:53:41,405
45:53:52,448
45:55:07,548
45:55:13,421
45:56:26,558
45:56:39,504
45:57:44,534
45:57:46,434
45:58:08,401
45:58:22,481
45:58:46,442
45:59:08,440
45:59:47,489
46:00:12,559
46:00:21,577
46:00:28,421
46:00:29,429
46:00:32,514
46:00:39,416
46:00:43,459
46:00:57,554
46:01:04,454
46:02:01,416
46:02:09,441
46:02:22,437
46:02:36,547
46:02:48,487
46:03:18,418
46:03:35,533
46:03:36,457
46:03:52,502
46:04:13,476
46:04:25,484
46:04:33,477
46:04:39,480
46:04:47,417
46:04:49,599
46:04:52,481
46:04:54,521
46:05:04,523
46:05:29,453
46:05:47,553
46:06:08,476
46:06:13,482
46:06:24,386
46:06:42,430
46:07:08,456
46:07:45,454
46:07:46,487
46:07:46,511
46:07:58,451
46:07:59,501
46:08:46,455
46:09:00,454
46:09:19,478
46:09:43,490
46:10:27,451
46:10:31,481
46:10:35,457
46:10:47,492
46:11:53,538
46:12:45,441
46:12:47,419
46:13:25,428
46:13:29,510
46:14:07,500
46:14:25,511
46:14:52,538
46:14:52,514
46:15:07,427
46:15:11,501
46:15:52,463
46:16:03,514
46:16:54,546
46:17:23,530
46:17:52,547
46:17:57,469
46:18:07,440
46:18:24,467
46:18:31,458
46:18:47,384
46:19:03,485
46:19:06,441
46:19:12,440
46:19:35,595
46:19:43,459
46:19:51,435
46:19:54,439
46:20:01,464
46:20:40,426
46:21:08,431
46:21:09,451
46:21:17,405
46:21:18,487
46:21:48,438
46:21:55,531
46:22:03,539
46:22:07,538
46:22:36,426
46:23:09,517
46:23:11,384
46:23:14,503
46:23:35,453
46:23:43,421
46:24:49,500
46:24:52,492
46:25:22,416
46:25:30,495
46:25:43,473
46:25:59,444
